1545730669569484	0	0	0	00000000000000000	0	0	0	0
1545730669874512	0	0	0	00000000000000000	0	2	23	0
1545730669886610	0	0	0	00000000000000000	0	2	23	0
1545730701156156	0	0	0	00000000000000000	0	2	23	0
1545730703292734	0	0	0	00000000000000000	0	2	23	0
1545730712200728	0	0	0	00000000000000000	0	2	23	0
1545730714461170	0	0	0	00000000000000000	0	2	23	0
1545730738453002	0	0	0	00000000000000000	0	2	23	0
1545730740390249	0	0	0	00000000000000000	0	2	23	0
1545730747628047	0	0	0	00000000000000000	0	2	23	0
1545730748610838	0	0	0	00000000000000000	0	2	23	0
1545730766943802	0	0	0	00000000000000000	0	2	23	0
1545730768442965	0	0	0	00000000000000000	0	2	23	0
1545730773645067	0	0	0	00000000000000000	0	2	23	0
1545730775450111	0	0	0	00000000000000000	0	2	23	0
1545730777548166	0	0	0	00000000000000000	0	2	23	0
1545730791362901	0	0	0	00000000000000000	0	2	23	0
1545730794434827	0	0	0	00000000000000000	0	2	23	0
1545730799972079	0	0	0	00000000000000000	0	2	23	0
1545730801335750	0	0	0	00000000000000000	0	2	23	0
1545730844025529	0	0	0	00000000000000000	0	2	23	0
1545730846075636	0	0	0	00000000000000010	0	2	23	0
1545730846281547	0	0	0	00000000000000110	0	2	23	0
1545730848742392	0	0	0	00000000000000010	0	2	23	0
1545730849154209	0	0	0	00000000000000000	0	2	23	0
1545730886064843	0	0	0	00000000000000000	0	2	23	0
